Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Group|Background
1862 |  |  |  |  |  |  |  |  | Death of Bahadur Shah Zafar in Exile | <h3>Event Summary</h3><p>Bahadur Shah Zafar, the last Mughal emperor and symbolic leader of the 1857 Revolt, died in exile in Rangoon.</p><h4>Key Details</h4><ul><li>Bahadur Shah had been exiled to Rangoon after the British captured Delhi in 1857</li><li>His death marked the definitive end of the Mughal dynasty</li><li>He had served as the symbolic figurehead of the revolt</li></ul><h4>Significance</h4><p>His death in exile symbolized the complete end of Mughal rule and the failure of the 1857 Revolt to restore traditional authority.</p> |  |  |  |  |  |  | Freedom Movement |
1829 | | | | | | | | | Abolition of Sati | <h3>Event Summary</h3><p>Sati was abolished under Lord William Bentinck, following the efforts of Rammohan Roy.</p><h4>Key Details</h4><ul><li>The abolition was initially applicable only to Bengal</li><li>Rammohan Roy campaigned against the practice</li><li>Lord William Bentinck passed the regulation criminalizing the practice</li></ul><h4>Significance</h4><p>This was one of the first major social reforms addressing women's rights in colonial India.</p> | | | | | | | British
1830 | | | | | | | | | Extension of Sati Abolition to Madras and Bombay | <h3>Event Summary</h3><p>The abolition of Sati was extended to Madras and Bombay presidencies.</p><h4>Key Details</h4><ul><li>This followed the 1829 abolition in Bengal</li><li>Extended the prohibition to other major British territories in India</li></ul><h4>Significance</h4><p>Completed the implementation of Sati abolition across the major British-controlled regions of India.</p> | | | | | | | British
1795 | | | | | | | | | Regulations Declaring Infanticide Illegal | <h3>Event Summary</h3><p>Regulations were passed declaring female infanticide illegal and equivalent to murder.</p><h4>Key Details</h4><ul><li>These were among the earliest British interventions against female infanticide</li><li>Declared the practice equivalent to murder under law</li></ul> | | | | | | | British
1804 | | | | | | | | | Further Regulations Against Infanticide | <h3>Event Summary</h3><p>Additional regulations were passed declaring infanticide illegal and equivalent to murder.</p><h4>Key Details</h4><ul><li>Reinforced the 1795 regulations against female infanticide</li><li>Continued British legal efforts to criminalize the practice</li></ul> | | | | | | | British
1856 | | | | | | | | | Hindu Widows' Remarriage Act | <h3>Event Summary</h3><p>The Hindu Widows' Remarriage Act was passed, legalizing remarriage for Hindu widows.</p><h4>Key Details</h4><ul><li>Ishwar Chandra Vidyasagar advocated strongly for this legislation</li><li>The act removed legal barriers to widow remarriage</li></ul><h4>Significance</h4><p>This was a significant reform addressing the social restrictions placed on Hindu widows.</p> | | | | | | | British
1870 | | | | | | | | | Female Infanticide Prevention Act | <h3>Event Summary</h3><p>The Female Infanticide Prevention Act was passed, mandating birth registration.</p><h4>Key Details</h4><ul><li>The act required registration of births to prevent female infanticide</li><li>Built upon earlier regulations from 1795 and 1804 that had declared infanticide illegal</li></ul><h4>Significance</h4><p>Represented a more systematic approach to preventing female infanticide through administrative measures.</p> | | | | | | | British
1891 | | | | | | | | | Age of Consent Act | <h3>Event Summary</h3><p>The Age of Consent Act was passed, prohibiting marriage for girls below the age of 12.</p><h4>Key Details</h4><ul><li>B.M. Malabari's efforts contributed to the passage of this act</li><li>Set a minimum age of consent for marriage</li></ul><h4>Significance</h4><p>This was an important step in addressing child marriage in India.</p> | | | | | | | British
1929 | | | | | | | | | Child Marriage Restraint Act (Sarda Act) | <h3>Event Summary</h3><p>The Child Marriage Restraint Act, also known as the Sarda Act, was passed, setting marriage ages at 14 for girls and 18 for boys.</p><h4>Key Details</h4><ul><li>The act was later amended in 1978 to raise the ages to 18 for girls and 21 for boys</li><li>Represented a more comprehensive approach to preventing child marriage</li></ul><h4>Significance</h4><p>This legislation was a major achievement of women's organizations and social reformers.</p> | | | | | | | British
1819 | | | | | | | | | Establishment of Calcutta Female Juvenile Society | <h3>Event Summary</h3><p>Christian missionaries established the Calcutta Female Juvenile Society to promote women's education.</p><h4>Key Details</h4><ul><li>This was one of the earliest organized efforts for women's education in colonial India</li><li>Established by Christian missionaries</li></ul><h4>Significance</h4><p>Represented an early institutional effort to promote female education in India.</p> | | | | | | | Socio-Religious Reforms
1849 | | | | | | | | | Establishment of First Women's Education Council | <h3>Event Summary</h3><p>J.E.D. Bethune founded the first women's education council in India.</p><h4>Key Details</h4><ul><li>Bethune was a pioneer in promoting women's education</li><li>The council was established to systematically advance female education</li></ul><h4>Significance</h4><p>This was an important institutional development for women's education in India.</p> | | | | | | | Socio-Religious Reforms
1848 | | | | | | | | | First Girls' School in Pune | <h3>Event Summary</h3><p>Jyotirao Phule and his wife Savitribai opened the first girls' school in Pune.</p><h4>Key Details</h4><ul><li>This was a pioneering effort in women's education</li><li>The couple faced significant social opposition for this initiative</li></ul><h4>Significance</h4><p>This represented a breakthrough in women's education, particularly significant as it was established by social reformers from a non-elite background.</p> | | | | | | | Socio-Religious Reforms
1863 | | | | | | | | | Opening of Alexandra School for Parsi Girls | <h3>Event Summary</h3><p>The Alexandra School for Parsi girls was opened, expanding educational opportunities for Parsi women.</p><h4>Key Details</h4><ul><li>This was a specialized educational institution for the Parsi community</li><li>Represented the progressive educational trends within the Parsi community</li></ul> | | | | | | | Socio-Religious Reforms
1887 | | | | | | | | | Cornelia Sorabji Becomes First Woman Bombay University Graduate | <h3>Event Summary</h3><p>Cornelia Sorabji became the first woman to graduate from Bombay University.</p><h4>Key Details</h4><ul><li>Sorabji was a pioneer in women's higher education</li><li>She later became India's first lady barrister</li></ul><h4>Significance</h4><p>This achievement represented a breakthrough for women in higher education in India.</p> | | | | | | | Socio-Religious Reforms
1914 | | | | | | | | | Establishment of Women's Medical Service | <h3>Event Summary</h3><p>The Women's Medical Service was established to train nurses and midwives.</p><h4>Key Details</h4><ul><li>The service focused on training women in medical professions</li><li>Provided training for nurses and midwives</li></ul><h4>Significance</h4><p>This represented an important development in women's professional education and healthcare services.</p> | | | | | | | Socio-Religious Reforms
1916 | | | | | | | | | Founding of India's First Women's University | <h3>Event Summary</h3><p>D.K. Karve founded India's First Women's University (SNDT Women's University).</p><h4>Key Details</h4><ul><li>This was the first university in India dedicated to women's education</li><li>Founded by social reformer D.K. Karve</li></ul><h4>Significance</h4><p>This was a landmark in the development of higher education for women in India.</p> | | | | | | | Socio-Religious Reforms
1916 | | | | | | | | | Opening of Lady Hardinge Medical College | <h3>Event Summary</h3><p>Lady Hardinge Medical College was opened in Delhi, providing medical education for women.</p><h4>Key Details</h4><ul><li>The college was established specifically for women's medical education</li><li>Represented an expansion of professional education opportunities for women</li></ul> | | | | | | | Socio-Religious Reforms
1910 | | | | | | | | | Establishment of Bharat Stree Mahamandal | <h3>Event Summary</h3><p>Sarla Devi Chaudhurani established Bharat Stree Mahamandal, the first major women's organization founded by a woman.</p><h4>Key Details</h4><ul><li>The organization focused on women's education</li><li>It worked to abolish purdah and improve women's socio-economic status</li></ul><h4>Significance</h4><p>This was a significant development in women-led organizing for social reform in India.</p> | | | | | | | Socio-Religious Reforms
1904 | | | | | | | | | Founding of Ladies Social Conference | <h3>Event Summary</h3><p>Ramabai Ranade founded the Ladies Social Conference in Bombay.</p><h4>Key Details</h4><ul><li>The conference was established to address women's issues</li><li>Founded by Ramabai Ranade, a prominent social reformer</li></ul> | | | | | | | Socio-Religious Reforms
1925 | | | | | | | | | Formation of National Council of Women | <h3>Event Summary</h3><p>The National Council of Women was formed under the leadership of Mehribai Tata.</p><h4>Key Details</h4><ul><li>The council was formed to advocate for women's rights and welfare</li><li>Led by Mehribai Tata, a prominent social reformer</li></ul> | | | | | | | Socio-Religious Reforms
1927 | | | | | | | | | Founding of All India Women's Conference (AIWC) | <h3>Event Summary</h3><p>Margaret Cousins founded the All India Women's Conference (AIWC) with an egalitarian approach.</p><h4>Key Details</h4><ul><li>The AIWC worked for legislative reforms</li><li>Contributed to the passage of the Sarda Act (1929), Hindu Marriage Acts (1954-56), and Maternity Benefits Act (1961)</li></ul><h4>Significance</h4><p>The AIWC became one of the most influential women's organizations in India, advocating for legal reforms to improve women's status.</p> | | | | | | | Socio-Religious Reforms
1925 | | | | | | | | | Sarojini Naidu Becomes INC President | <h3>Event Summary</h3><p>Sarojini Naidu became the President of the Indian National Congress.</p><h4>Key Details</h4><ul><li>She was a prominent nationalist leader and poet</li><li>Later became Governor of United Provinces (1947-1949)</li></ul><h4>Significance</h4><p>This represented a significant achievement for women's leadership in the nationalist movement.</p> | | | | | | | Freedom Movement
1927 | | | | | | | | | Mahad Satyagraha | <h3>Event Summary</h3><p>Dr. B.R. Ambedkar led the Mahad Satyagraha, where 2,500 untouchables drank water from the Chawdar tank.</p><h4>Key Details</h4><ul><li>The satyagraha challenged restrictions on water access for untouchables</li><li>2,500 participants joined the protest</li><li>Participants drank water from the Chawdar tank, which was previously forbidden to untouchables</li></ul><h4>Significance</h4><p>This was a landmark event in the struggle against caste-based discrimination and untouchability.</p> | | | | | | | Socio-Religious Reforms
1920 | | | | | | | | | Publication of Mooknayak | <h3>Event Summary</h3><p>Dr. B.R. Ambedkar published Mooknayak (Leader of the Voiceless), a journal focused on Dalit issues.</p><h4>Key Details</h4><ul><li>The journal was dedicated to raising awareness about Dalit issues</li><li>The title "Leader of the Voiceless" reflected its mission to represent those without social voice</li></ul><h4>Significance</h4><p>This publication was an important platform for articulating Dalit concerns and perspectives.</p> | | | | | | | Socio-Religious Reforms
1924 | | | | | | | | | Formation of Bahushkrit Hitakarni Sabha | <h3>Event Summary</h3><p>Dr. B.R. Ambedkar formed the Bahushkrit Hitakarni Sabha to work for Dalit welfare.</p><h4>Key Details</h4><ul><li>The organization was dedicated to advancing the interests of Dalits</li><li>Founded by Dr. Ambedkar as part of his broader movement for Dalit rights</li></ul> | | | | | | | Socio-Religious Reforms
1927 | | | | | | | | | Publication of Bahishkrit Bharat | <h3>Event Summary</h3><p>Dr. B.R. Ambedkar published Bahishkrit Bharat, a journal focused on issues of the excluded communities in India.</p><h4>Key Details</h4><ul><li>The journal addressed concerns of communities excluded from mainstream society</li><li>Part of Ambedkar's broader publishing efforts to raise awareness about social exclusion</li></ul> | | | | | | | Socio-Religious Reforms
